Date,Open,High,Low,Close,Volume,AdjClose
2021-05-12,123.3,124.64,122.25,122.77,83814847.0,119.89
2021-05-13,124.59,126.15,124.26,124.97,84181244.0,122.04
2021-05-14,126.27,127.89,125.85,127.45,61443573.0,124.46
2021-05-17,126.82,126.93,125.17,126.27,54202467.0,123.31
2021-05-18,126.56,126.99,124.78,124.85,46852153.0,121.92
2021-05-19,123.16,124.92,122.86,124.69,68615062.0,121.77
2021-05-20,125.23,127.72,125.1,127.31,55353349.0,124.33
2021-05-21,127.85,128.0,125.21,125.43,62331326.0,122.49
2021-05-24,126.01,127.94,125.94,127.1,48670277.0,124.12
2021-05-25,127.84,128.32,126.32,126.9,49464762.0,123.93
2021-05-26,126.93,127.39,126.42,126.85,43263985.0,123.88
2021-05-27,126.36,127.64,125.08,125.28,55439918.0,122.34
2021-05-28,125.57,125.8,124.55,124.61,55502715.0,121.69
2021-06-01,125.07,125.35,123.94,124.28,48973118.0,121.37
2021-06-02,124.29,125.24,124.05,125.06,45812013.0,122.13
2021-06-03,124.65,124.85,123.13,123.54,53782536.0,120.64
2021-06-04,124.04,126.16,123.85,125.89,55456100.0,122.94
2021-06-07,126.18,126.32,124.83,125.9,55561903.0,122.95
2021-06-08,126.62,128.46,126.21,126.74,60230203.0,123.77
2021-06-09,127.18,127.75,126.52,127.13,41316919.0,124.15
2021-06-10,127.03,128.19,125.94,126.11,57649048.0,123.15
2021-06-11,126.48,127.44,126.1,127.35,41601876.0,124.37
2021-06-14,127.82,130.49,127.07,130.48,66103463.0,127.42
2021-06-15,129.88,130.6,129.39,129.64,48073568.0,126.6
2021-06-16,130.28,130.89,128.46,130.15,70654577.0,127.1
2021-06-17,129.8,132.55,129.65,131.79,73953105.0,128.7
2021-06-18,131.01,131.51,130.24,130.46,69585552.0,127.4
2021-06-21,130.31,132.41,129.21,132.3,56823425.0,129.2
2021-06-22,132.1,134.08,131.62,133.98,54822411.0,130.84
2021-06-23,133.78,134.32,133.23,133.7,48870121.0,130.57
2021-06-24,134.41,134.64,132.93,133.41,52159780.0,130.28
2021-06-25,133.49,133.89,132.81,133.11,37878701.0,129.99
2021-06-28,133.42,135.25,133.35,134.78,47737931.0,131.62
2021-06-29,134.82,136.49,134.35,136.33,49058434.0,133.13
2021-06-30,136.17,137.41,135.87,136.96,44740326.0,133.75
2021-07-01,136.57,137.33,135.76,137.27,41357117.0,134.05
2021-07-02,137.92,140.0,137.74,139.96,61569787.0,136.68
2021-07-06,140.09,143.15,140.07,142.02,87183223.0,138.69
2021-07-07,143.54,144.89,142.66,144.57,83426662.0,141.18
2021-07-08,141.57,144.06,140.66,143.24,80866087.0,139.88
2021-07-09,142.73,145.65,142.65,145.11,82032258.0,141.71
2021-07-12,146.21,146.32,144.0,144.5,58331259.0,141.11
2021-07-13,144.06,147.46,143.63,145.64,83767711.0,142.23
2021-07-14,148.05,149.57,147.68,149.15,101922592.0,145.65
2021-07-15,149.25,150.0,147.09,148.48,86281224.0,145.0
2021-07-16,148.53,149.76,145.88,146.39,72110009.0,142.96
2021-07-19,143.75,144.07,141.67,142.45,90967121.0,139.11
2021-07-20,143.47,147.1,142.96,146.15,72183869.0,142.72
2021-07-21,145.53,146.13,144.63,145.4,56267770.0,141.99
2021-07-22,145.93,148.2,145.81,146.8,58353076.0,143.36
2021-07-23,147.52,148.72,146.92,148.56,51997002.0,145.08
2021-07-26,148.27,149.83,147.7,148.99,51200168.0,145.5
2021-07-27,149.14,149.21,145.55,146.77,74251335.0,143.33
2021-07-28,144.84,146.97,142.54,144.98,87202900.0,141.58
2021-07-29,144.66,146.55,144.58,145.64,43418981.0,142.23
2021-07-30,144.43,146.33,144.11,145.86,50056057.0,142.44
2021-08-02,146.33,146.95,145.25,145.52,47327568.0,142.11
2021-08-03,145.82,148.05,145.18,147.36,50815197.0,143.91
2021-08-04,147.26,147.79,146.28,146.95,41627704.0,143.51
2021-08-05,146.98,147.84,146.17,147.06,36455653.0,143.61
2021-08-06,146.32,147.11,145.63,146.14,38476436.0,142.93
2021-08-09,146.22,146.7,145.52,146.09,34631200.0,142.88
2021-08-10,146.42,147.71,145.3,145.6,46131638.0,142.4
2021-08-11,146.07,146.72,145.53,145.86,39993243.0,142.65
2021-08-12,146.19,149.05,145.84,148.89,58035023.0,145.62
2021-08-13,148.97,149.45,148.27,149.1,43005407.0,145.82
2021-08-16,148.57,151.13,146.47,151.12,82656690.0,147.8
2021-08-17,150.23,151.68,149.09,150.19,73501615.0,146.89
2021-08-18,149.81,150.72,146.15,146.36,68650913.0,143.14
2021-08-19,145.07,148.0,144.52,146.7,67301741.0,143.48
2021-08-20,147.44,148.5,146.78,148.19,43642142.0,144.93
2021-08-23,148.24,150.19,147.89,149.71,44812156.0,146.42
2021-08-24,149.45,150.86,149.15,149.62,39308754.0,146.33
2021-08-25,149.82,150.32,147.8,148.36,46940227.0,145.1
2021-08-26,148.33,149.12,147.51,147.54,39087872.0,144.3
2021-08-27,147.46,148.75,146.83,148.6,41045968.0,145.33
2021-08-30,149.0,153.49,148.61,153.12,74323201.0,149.76
2021-08-31,152.69,152.8,151.29,151.83,57691708.0,148.49
2021-09-01,152.8,154.98,152.34,152.51,64333689.0,149.16
2021-09-02,153.85,154.72,152.4,153.65,57103820.0,150.27
2021-09-03,153.75,154.63,153.09,154.3,46045854.0,150.91
2021-09-07,155.0,157.26,154.39,156.69,66179291.0,153.25
2021-09-08,156.98,157.04,154.0,155.11,58699047.0,151.7
2021-09-09,155.49,156.11,153.95,154.07,44961300.0,150.68
2021-09-10,155.02,155.48,148.7,148.97,116040945.0,145.7
2021-09-13,150.65,151.42,148.75,149.55,73141098.0,146.26
2021-09-14,150.36,151.07,146.91,148.12,84363534.0,144.87
2021-09-15,148.54,149.44,146.37,149.03,61732142.0,145.76
2021-09-16,148.44,148.97,147.22,148.79,53150536.0,145.52
2021-09-17,148.78,148.82,145.76,146.06,77809929.0,142.85
2021-09-20,143.86,144.84,141.27,142.94,89873045.0,139.8
2021-09-21,143.93,144.6,142.78,143.43,59221109.0,140.28
2021-09-22,144.4,146.43,143.7,145.85,58798190.0,142.65
2021-09-23,146.62,147.08,145.64,146.83,49946631.0,143.6
2021-09-24,145.66,147.48,145.56,146.92,41993074.0,143.69
2021-09-27,145.48,145.96,143.82,145.37,55397696.0,142.18
2021-09-28,143.27,144.75,141.69,141.91,81282540.0,138.79
2021-09-29,142.54,144.45,142.03,142.83,55744478.0,139.69
2021-09-30,143.66,144.38,141.28,141.5,68780930.0,138.39
2021-10-01,141.87,142.92,139.11,142.65,70841913.0,139.52
2021-10-04,141.71,142.21,138.27,139.14,74926541.0,136.08
2021-10-05,139.49,142.24,139.36,141.11,62079151.0,138.01
2021-10-06,139.58,142.15,138.37,142.0,65918279.0,138.88
2021-10-07,143.0,144.22,142.72,143.29,48981558.0,140.14
2021-10-08,144.04,144.18,142.56,142.9,43275947.0,139.76
2021-10-11,142.26,144.81,141.81,142.81,46063724.0,139.67
2021-10-12,143.23,143.25,141.04,141.51,50614841.0,138.4
2021-10-13,141.2,141.4,139.2,140.91,58368781.0,137.81
2021-10-14,142.09,143.88,141.51,143.76,50440226.0,140.6
2021-10-15,143.72,144.9,143.51,144.84,50531448.0,141.66
2021-10-18,143.44,146.84,143.16,146.55,60815769.0,143.33
2021-10-19,146.99,149.17,146.55,148.76,60624868.0,145.49
2021-10-20,148.72,149.76,148.12,149.26,47868276.0,145.98
2021-10-21,148.76,149.64,147.87,149.48,43925575.0,146.2
2021-10-22,149.64,150.18,148.64,148.69,45329745.0,145.42
2021-10-25,148.69,149.37,147.62,148.64,36790471.0,145.37
2021-10-26,149.28,150.84,149.01,149.32,46556350.0,146.04
2021-10-27,149.38,149.73,148.49,148.85,38586370.0,145.58
2021-10-28,149.86,153.17,149.72,152.57,69297439.0,149.22
2021-10-29,147.19,149.94,146.41,149.8,89223094.0,146.51
2021-11-01,148.99,149.7,147.8,148.96,47432502.0,145.69
2021-11-02,148.67,151.57,148.65,150.02,50479783.0,146.72
2021-11-03,150.39,151.97,149.82,151.49,35804933.0,148.16
2021-11-04,151.61,152.43,150.64,150.96,40120421.0,147.64
2021-11-05,151.81,152.19,150.06,151.28,39158690.0,148.17
2021-11-08,151.4,151.57,150.16,150.44,31158440.0,147.35
2021-11-09,150.15,151.43,150.07,150.81,36726836.0,147.71
2021-11-10,150.08,150.13,147.85,147.92,44778285.0,144.88
2021-11-11,148.96,149.43,147.68,147.87,28880240.0,144.83
2021-11-12,148.43,150.4,147.48,149.99,41134838.0,146.91
2021-11-15,150.33,151.88,149.43,150.0,36555080.0,146.92
2021-11-16,149.93,151.49,149.34,151.0,37591611.0,147.9
2021-11-17,150.99,155.0,150.99,153.49,67526788.0,150.34
2021-11-18,153.65,158.67,153.05,157.87,98585969.0,154.63
2021-11-19,157.63,161.02,156.53,160.55,91072720.0,157.25
2021-11-22,161.68,165.7,161.0,161.02,93149689.0,157.71
2021-11-23,161.12,161.8,159.06,161.41,70971253.0,158.09
2021-11-24,160.75,162.14,159.64,161.94,54588093.0,158.61
2021-11-26,159.56,160.45,156.36,156.81,55429693.0,153.59
2021-11-29,159.36,161.19,158.79,160.24,64215972.0,156.95
2021-11-30,159.97,165.52,159.92,165.3,122399509.0,161.9
2021-12-01,167.35,170.3,164.53,164.77,117831733.0,161.38
2021-12-02,158.74,164.2,157.8,163.76,103936698.0,160.4
2021-12-03,164.0,164.96,159.72,161.84,88732071.0,158.51
2021-12-06,164.32,167.88,164.28,165.32,76174443.0,161.92
2021-12-07,169.06,171.58,168.34,171.18,85726234.0,167.66
2021-12-08,171.93,175.96,170.7,175.08,90235677.0,171.48
2021-12-09,174.85,176.75,173.92,174.56,85323591.0,170.97
2021-12-10,175.25,179.63,174.69,179.45,88691060.0,175.76
2021-12-13,181.08,182.13,175.53,175.74,115326498.0,172.13
2021-12-14,175.29,177.74,172.21,174.33,95501156.0,170.75
2021-12-15,175.11,179.5,172.31,179.3,98454969.0,175.62
2021-12-16,179.3,181.14,170.75,172.26,120068566.0,168.72
2021-12-17,169.93,173.47,169.69,171.14,114267403.0,167.62
2021-12-20,168.23,170.58,167.46,169.75,77759544.0,166.26
2021-12-21,171.56,173.2,169.12,172.99,67853695.0,169.44
2021-12-22,172.93,175.86,172.15,175.64,65739540.0,172.03
2021-12-23,175.83,176.85,175.27,176.28,51647964.0,172.66
2021-12-27,177.09,180.42,177.07,180.33,57449334.0,176.62
2021-12-28,180.16,181.33,178.53,179.29,64311654.0,175.61
2021-12-29,179.35,180.63,178.14,179.38,47994050.0,175.69
2021-12-30,179.55,180.57,178.09,178.2,47456923.0,174.54
2021-12-31,178.12,179.23,177.26,177.57,43468950.0,173.92
2022-01-03,177.89,182.88,177.71,182.01,71642674.0,178.27
2022-01-04,182.63,182.94,179.12,179.7,68898912.0,176.01
2022-01-05,179.62,180.17,174.64,174.92,67572056.0,171.33
2022-01-06,172.69,175.3,171.64,172.0,65887324.0,168.47
2022-01-07,172.8,174.14,171.03,172.17,58024390.0,168.63
2022-01-10,169.08,172.5,168.17,172.19,76243662.0,168.65
2022-01-11,172.37,175.18,170.82,175.08,58239363.0,171.48
2022-01-12,176.09,177.18,174.82,175.53,56620012.0,171.92
2022-01-13,175.77,176.62,171.79,172.19,62632078.0,168.65
2022-01-14,171.34,173.78,171.09,173.07,54913077.0,169.51
2022-01-18,171.5,172.54,169.4,169.8,61237494.0,166.31
2022-01-19,169.98,171.08,165.94,166.23,68212756.0,162.81
2022-01-20,166.99,169.68,164.18,164.51,64408443.0,161.13
2022-01-21,164.42,166.33,162.3,162.41,90813513.0,159.07
2022-01-24,160.05,162.3,154.7,161.62,115343786.0,158.3
2022-01-25,158.93,162.76,157.02,159.78,78409907.0,156.5
2022-01-26,163.44,164.39,157.82,159.69,79227846.0,156.41
2022-01-27,162.42,163.84,158.28,159.22,84054091.0,155.95
2022-01-28,165.71,170.35,162.8,170.33,129744687.0,166.83
2022-01-31,170.24,175.0,169.51,174.78,80974538.0,171.19
2022-02-01,174.03,174.84,172.31,174.61,58265825.0,171.02
2022-02-02,174.74,175.88,173.33,175.84,53915586.0,172.23
2022-02-03,174.54,176.24,172.12,172.9,59100405.0,169.35
2022-02-04,171.75,174.1,170.68,172.39,55312203.0,169.06
2022-02-07,172.84,173.95,170.95,171.66,44819660.0,168.35
2022-02-08,171.75,175.35,171.43,174.83,55397502.0,171.46
2022-02-09,176.11,176.65,174.9,176.28,48830139.0,172.88
2022-02-10,174.15,175.48,171.55,172.12,63629236.0,168.8
2022-02-11,172.33,173.08,168.04,168.64,66915186.0,165.39
2022-02-14,167.37,169.58,166.56,168.88,57278255.0,165.62
2022-02-15,170.99,172.95,170.25,172.79,46112499.0,169.46
2022-02-16,171.82,173.34,170.05,172.55,43016135.0,169.22
2022-02-17,171.07,171.91,168.47,168.88,46848383.0,165.62
2022-02-18,169.84,170.55,166.19,167.3,56354059.0,164.07
2022-02-22,164.99,166.69,162.15,164.32,64015373.0,161.15
2022-02-23,165.54,166.15,159.75,160.07,61854281.0,156.98
2022-02-24,152.62,162.85,152.0,162.74,100193295.0,159.6
2022-02-25,163.83,165.12,160.87,164.85,70412962.0,161.67
2022-02-28,162.97,165.42,162.43,165.12,61883797.0,161.93
2022-03-01,164.7,166.6,161.97,163.2,63866606.0,160.05
2022-03-02,164.48,167.36,162.95,166.56,58653746.0,163.35
